文,34362,31.66
华,30261,48.44
明,29120,27.42
晓,22209,100.00
玉,21202,73.64
国,20000,12.74
海,19554,27.34
伟,19003,77.07
志,18840,44.56
红,18319,42.31
平,18177,27.57
林,18083,35.06
春,17551,62.43
丽,17460,58.11
建,17443,27.98
云,16691,49.49
金,16436,27.98
英,16221,33.42
军,16063,18.83
永,14958,54.07
德,14246,25.97
荣,14056,59.59
龙,13410,44.50
东,13356,22.76
芳,12930,92.79
新,12749,20.04
成,12579,14.20
杰,11912,61.99
辉,11585,89.70
秀,11455,61.01
生,11453,11.59
子,11364,11.91
俊,11338,100.00
梅,10968,60.69
玲,10927,100.00
清,10809,26.02
世,10794,20.04
光,10739,24.12
艳,10557,100.00
强,10394,23.81
庆,10264,64.91
燕,10107,88.49
峰,10025,74.57
宇,9995,57.85
敏,9963,72.57
忠,9745,65.77
凤,9634,74.69
兰,9265,34.59
立,9243,18.99
佳,9205,78.14
美,9183,16.51
祥,9056,82.19
霞,8959,100.00
兴,8948,30.54
家,8891,11.81
雪,8881,47.88
飞,8843,24.05
君,8761,46.83
亚,8704,26.35
利,8663,16.06
萍,8542,100.00
良,8485,40.61
宝,8483,39.80
慧,8469,70.04
福,8310,34.49
波,8218,33.42
学,8208,11.89
洪,8182,61.11
娟,8009,100.00
瑞,7960,59.70
天,7831,12.21
珍,7765,58.51
元,7724,23.03
少,7631,18.26
鹏,7619,87.87
振,7575,49.77
大,7502,7.55
正,7467,14.19
勇,7466,52.32
斌,7466,100.00
宏,7351,80.24
江,7092,28.55
超,7048,34.20
青,6943,25.93
民,6880,12.80
安,6855,17.30
亮,6770,36.34
涛,6727,90.22
秋,6662,47.09
琴,6383,70.13
松,6352,36.78
昌,6314,65.46
胜,6271,31.81
中,6173,6.69
桂,6157,79.08
长,6154,12.00
静,6097,30.80
思,6022,18.26
一,5892,3.93
阳,5882,27.80
贵,5826,34.72
婷,5735,100.00
惠,5732,58.30
刚,5720,26.61
淑,5619,100.00
爱,5583,20.32
维,5581,23.79
月,5497,13.52
泽,5496,35.80
山,5460,16.12
芬,5397,72.48
广,5359,22.08
义,5253,14.74
锋,5203,62.13
武,5140,22.41
智,5122,32.81
仁,5102,48.62
香,5039,29.44
嘉,4941,67.89
友,4940,24.07
雨,4933,33.40
娜,4888,56.94
花,4879,19.43
雅,4870,39.86
群,4820,23.39
莉,4708,67.41
旭,4701,100.00
全,4694,11.09
远,4674,18.40
浩,4634,66.48
富,4612,27.09
宁,4607,35.05
欣,4590,52.15
彬,4573,100.00
丹,4555,43.60
树,4554,25.97
梦,4517,30.25
兵,4490,18.32
贤,4430,67.79
星,4421,21.53
卫,4396,24.54
发,4377,7.82
根,4325,16.93
继,4294,23.84
和,4246,5.80
宗,4195,25.70
凯,4185,47.26
坤,4158,100.00
健,4157,32.04
培,4124,37.07
景,4068,27.59
彦,4035,96.91
才,4023,13.31
琳,4014,87.25
洁,3987,49.04
顺,3981,30.29
锦,3979,64.37
雄,3931,33.40
莲,3911,60.14
颖,3863,91.91
银,3853,25.35
启,3823,41.17
连,3815,16.90
方,3806,7.86
传,3768,15.33
冬,3755,42.84
鑫,3729,100.00
会,3629,6.29
翠,3622,71.54
素,3597,22.07
喜,3572,22.11
琼,3552,71.91
先,3536,11.59
剑,3516,26.85
水,3483,11.84
怡,3445,86.91
万,3433,14.30
鸿,3402,58.58
祖,3401,30.30
乐,3385,20.42
朝,3339,19.76
克,3329,12.66
士,3307,15.12
耀,3296,53.95
康,3268,26.47
菊,3240,83.97
吉,3232,25.40
进,3224,7.91
书,3215,13.04
琪,3176,100.00
博,3157,27.51
南,3124,13.41
晨,3113,39.17
莹,3102,91.36
有,3099,3.73
如,3095,7.43
雯,3072,100.00
绍,3068,34.45
汉,3062,21.57
泉,3062,46.69
达,3060,12.87
彩,3059,32.63
源,3052,20.49
茂,2980,70.49
妹,2951,32.23
兆,2946,67.30
